Date,Cases - Total,Date-1,Avg_DP
6/6/2020,171,5/23/2020,61.3
6/7/2020,110,5/24/2020,64
6/8/2020,272,5/25/2020,64.3
6/9/2020,257,5/26/2020,64.9
6/10/2020,235,5/27/2020,65.8
6/11/2020,204,5/28/2020,65.3
6/18/2020,184,6/4/2020,64.4
6/19/2020,219,6/5/2020,64.8
6/23/2020,233,6/9/2020,67.3
6/24/2020,244,6/10/2020,65.4
7/4/2020,62,6/20/2020,62.2
7/5/2020,88,6/21/2020,64.8
7/6/2020,284,6/22/2020,66.3
7/10/2020,343,6/26/2020,66.3
7/11/2020,156,6/27/2020,68.8
7/12/2020,97,6/28/2020,68.4
7/13/2020,338,6/29/2020,69.4
7/14/2020,322,6/30/2020,69.7
7/15/2020,269,7/1/2020,64
7/16/2020,297,7/2/2020,61.8
7/18/2020,134,7/4/2020,66.3
7/19/2020,101,7/5/2020,62.9
7/20/2020,390,7/6/2020,62.4
7/21/2020,288,7/7/2020,66.1
7/22/2020,369,7/8/2020,67.2
7/23/2020,318,7/9/2020,68.4
7/24/2020,344,7/10/2020,66.8
7/25/2020,157,7/11/2020,62.5
7/26/2020,97,7/12/2020,62.4
7/29/2020,444,7/15/2020,66.2
7/30/2020,341,7/16/2020,65.3
7/31/2020,393,7/17/2020,65.7
8/1/2020,141,7/18/2020,73.5
8/2/2020,93,7/19/2020,69.9
8/3/2020,422,7/20/2020,61.2
8/4/2020,368,7/21/2020,65.3
8/5/2020,377,7/22/2020,67.8
8/7/2020,416,7/24/2020,65.2
8/8/2020,176,7/25/2020,65.5
8/9/2020,116,7/26/2020,71.1
8/10/2020,379,7/27/2020,68.8
8/12/2020,433,7/29/2020,64.3
8/13/2020,392,7/30/2020,61.3
8/15/2020,223,8/1/2020,62.2
8/16/2020,123,8/2/2020,63.7
8/22/2020,183,8/8/2020,61.5
8/23/2020,111,8/9/2020,68.3
8/24/2020,519,8/10/2020,70.4
8/29/2020,222,8/15/2020,65
