Date,Case-Total,Date-1,Avg_DP
8/4/2020,192,7/28/2020,67.2
8/5/2020,311,7/29/2020,67.4
8/6/2020,287,7/30/2020,61.6
8/7/2020,264,7/31/2020,66.8
8/8/2020,158,8/1/2020,64.9
8/9/2020,133,8/2/2020,72.6
8/10/2020,299,8/3/2020,65
8/11/2020,258,8/4/2020,69.3
8/12/2020,319,8/5/2020,62.2
8/13/2020,260,8/6/2020,60.3
8/14/2020,271,8/7/2020,64.9
8/15/2020,150,8/8/2020,66.8
8/16/2020,138,8/9/2020,68
8/17/2020,329,8/10/2020,69.5
8/18/2020,279,8/11/2020,71.6
8/19/2020,279,8/12/2020,72.5
8/20/2020,219,8/13/2020,69.1
8/21/2020,243,8/14/2020,66.3
8/22/2020,139,8/15/2020,59.7
8/23/2020,148,8/16/2020,62.6
8/24/2020,297,8/17/2020,61.6
8/25/2020,278,8/18/2020,59.9
8/26/2020,304,8/19/2020,61.9
8/27/2020,254,8/20/2020,53.3
8/28/2020,262,8/21/2020,62.1
8/29/2020,114,8/22/2020,65.7
8/30/2020,166,8/23/2020,68
8/31/2020,266,8/24/2020,67.1
