date,area_name,new_cases,total_cases
5/9/2020,Rest of England,1635,139930
5/10/2020,London,124,30199
5/10/2020,Rest of England,1860,141790
5/11/2020,London,159,30358
5/11/2020,Rest of England,2867,144657
5/12/2020,London,195,30553
5/12/2020,Rest of England,2675,147332
5/13/2020,London,204,30757
5/13/2020,Rest of England,2603,149935
5/14/2020,London,157,30914
5/14/2020,Rest of England,2006,151941
5/15/2020,London,131,31045
5/15/2020,Rest of England,1955,153896
5/16/2020,London,74,31119
5/16/2020,Rest of England,1682,155578
5/17/2020,London,79,31198
5/17/2020,Rest of England,1492,157070
5/18/2020,London,112,31310
5/18/2020,Rest of England,2062,159132
5/19/2020,London,132,31442
5/19/2020,Rest of England,2406,161538
5/20/2020,London,144,31586
5/20/2020,Rest of England,2175,163713
5/21/2020,London,158,31744
5/21/2020,Rest of England,2083,165796
5/22/2020,London,85,31829
5/22/2020,Rest of England,1691,167487
5/23/2020,London,65,31894
5/23/2020,Rest of England,1219,168706
5/24/2020,London,51,31945
5/24/2020,Rest of England,1133,169839
5/25/2020,London,58,32003
5/25/2020,Rest of England,1307,171146
5/26/2020,London,66,32069
5/26/2020,Rest of England,1365,172511
5/27/2020,London,84,32153
5/27/2020,Rest of England,1508,174019
5/28/2020,London,74,32227
5/28/2020,Rest of England,1473,175492
5/29/2020,London,57,32284
5/29/2020,Rest of England,1295,176787
5/30/2020,London,39,32323
5/30/2020,Rest of England,946,177733
5/31/2020,London,38,32361
5/31/2020,Rest of England,939,178672
6/1/2020,London,49,32410
6/1/2020,Rest of England,1237,179909
6/2/2020,London,49,32459
6/2/2020,Rest of England,1288,181197
6/3/2020,London,79,32538
6/3/2020,Rest of England,1138,182335
6/4/2020,London,57,32595
6/4/2020,Rest of England,1071,183406
6/5/2020,London,47,32642
6/5/2020,Rest of England,958,184364
6/6/2020,London,46,32688
6/6/2020,Rest of England,664,185028
6/7/2020,London,45,32733
6/7/2020,Rest of England,613,185641
6/8/2020,London,56,32789
6/8/2020,Rest of England,922,186563
6/9/2020,London,71,32860
6/9/2020,Rest of England,973,187536
6/10/2020,London,53,32913
6/10/2020,Rest of England,1020,188556
6/11/2020,London,47,32960
6/11/2020,Rest of England,859,189415
6/12/2020,London,54,33014
6/12/2020,Rest of England,876,190291
6/13/2020,London,39,33053
6/13/2020,Rest of England,740,191031
6/14/2020,London,31,33084
6/14/2020,Rest of England,712,191743
6/15/2020,London,41,33125
6/15/2020,Rest of England,884,192627
6/16/2020,London,47,33172
6/16/2020,Rest of England,930,193557
6/17/2020,London,43,33215
6/17/2020,Rest of England,850,194407
6/18/2020,London,46,33261
6/18/2020,Rest of England,880,195287
6/19/2020,London,37,33298
6/19/2020,Rest of England,767,196054
6/20/2020,London,28,33326
6/20/2020,Rest of England,596,196650
6/21/2020,London,27,33353
6/21/2020,Rest of England,520,197170
6/22/2020,London,51,33404
6/22/2020,Rest of England,754,197924
6/23/2020,London,49,33453
6/23/2020,Rest of England,666,198590
6/24/2020,London,46,33499
6/24/2020,Rest of England,674,199264
6/25/2020,London,57,33556
6/25/2020,Rest of England,575,199839
6/26/2020,London,48,33604
6/26/2020,Rest of England,585,200424
6/27/2020,London,32,33636
6/27/2020,Rest of England,469,200893
6/28/2020,London,22,33658
6/28/2020,Rest of England,386,201279
6/29/2020,London,58,33716
6/29/2020,Rest of England,598,201877
6/30/2020,London,52,33768
6/30/2020,Rest of England,515,202392
7/1/2020,London,42,33810
7/1/2020,Rest of England,556,202948
7/2/2020,London,38,33848
7/2/2020,Rest of England,506,203454
7/3/2020,London,38,33886
7/3/2020,Rest of England,491,203945
7/4/2020,London,32,33918
7/4/2020,Rest of England,348,204293
7/5/2020,London,51,33969
7/5/2020,Rest of England,483,204776
7/6/2020,London,53,34022
7/6/2020,Rest of England,587,205363
7/7/2020,London,59,34081
7/7/2020,Rest of England,487,205850
7/8/2020,London,57,34138
7/8/2020,Rest of England,601,206451
7/9/2020,London,54,34192
7/9/2020,Rest of England,619,207070
7/10/2020,London,40,34232
7/10/2020,Rest of England,469,207539
7/11/2020,London,19,34251
7/11/2020,Rest of England,387,207926
7/12/2020,London,38,34289
7/12/2020,Rest of England,309,208235
7/13/2020,London,85,34374
7/13/2020,Rest of England,581,208816
