Date,Avg_DP
3-Jan-20,38.9
4-Jan-20,44.6
5-Jan-20,41.2
6-Jan-20,38
7-Jan-20,40.8
8-Jan-20,40.3
9-Jan-20,46.6
10-Jan-20,48.5
11-Jan-20,47.9
12-Jan-20,37.3
13-Jan-20,43.4
14-Jan-20,43
15-Jan-20,43.5
16-Jan-20,47.7
17-Jan-20,43
18-Jan-20,44.2
19-Jan-20,41
20-Jan-20,34.6
21-Jan-20,33.7
22-Jan-20,33.9
23-Jan-20,35
24-Jan-20,42.1
25-Jan-20,42.9
26-Jan-20,41.6
27-Jan-20,39.3
28-Jan-20,44.5
29-Jan-20,42.4
30-Jan-20,34.4
31-Jan-20,36.3
1-Feb-20,47.5
2-Feb-20,47.9
3-Feb-20,41.2
4-Feb-20,45.2
5-Feb-20,41
6-Feb-20,36.1
7-Feb-20,35.7
8-Feb-20,37.1
9-Feb-20,38.7
10-Feb-20,41.9
11-Feb-20,45.5
12-Feb-20,35.6
13-Feb-20,29
14-Feb-20,33.2
15-Feb-20,40.3
16-Feb-20,41.3
17-Feb-20,49.9
18-Feb-20,45.3
19-Feb-20,36.9
20-Feb-20,37.7
21-Feb-20,38.8
22-Feb-20,40.6
23-Feb-20,37.8
24-Feb-20,42.5
25-Feb-20,42.9
26-Feb-20,43.7
27-Feb-20,35.8
28-Feb-20,31.4
29-Feb-20,32
1-Mar-20,40
2-Mar-20,38.4
3-Mar-20,33.2
4-Mar-20,35.1
5-Mar-20,35
6-Mar-20,37.6
7-Mar-20,40.1
8-Mar-20,33.2
9-Mar-20,40.8
10-Mar-20,42.4
11-Mar-20,39.4
12-Mar-20,50.9
13-Mar-20,45.4
14-Mar-20,33.9
15-Mar-20,36.3
16-Mar-20,43.8
17-Mar-20,44.1
18-Mar-20,36.3
19-Mar-20,42.5
20-Mar-20,46.8
21-Mar-20,43.3
22-Mar-20,36.3
23-Mar-20,32.9
24-Mar-20,33.8
25-Mar-20,31.1
26-Mar-20,29
27-Mar-20,28.7
28-Mar-20,29.6
29-Mar-20,31.7
30-Mar-20,33.7
31-Mar-20,26
1-Apr-20,33
2-Apr-20,33.3
3-Apr-20,30.4
4-Apr-20,37.3
5-Apr-20,35.5
6-Apr-20,37.3
7-Apr-20,36.4
8-Apr-20,42
9-Apr-20,40.5
10-Apr-20,45.1
11-Apr-20,44.9
12-Apr-20,45.8
13-Apr-20,46.1
14-Apr-20,44.1
15-Apr-20,33.6
16-Apr-20,30.7
17-Apr-20,36.6
18-Apr-20,42
19-Apr-20,42.6
20-Apr-20,44
21-Apr-20,39.3
22-Apr-20,37.1
23-Apr-20,37.8
24-Apr-20,38.9
25-Apr-20,41.7
26-Apr-20,41.4
27-Apr-20,41.7
28-Apr-20,40.8
29-Apr-20,42.3
30-Apr-20,45.2
1-May-20,44.8
2-May-20,43.4
3-May-20,42.5
4-May-20,39.1
5-May-20,42.7
6-May-20,44.2
7-May-20,39.2
8-May-20,39.3
9-May-20,44.2
10-May-20,44.5
11-May-20,45.2
12-May-20,43.5
13-May-20,29.7
14-May-20,31.6
15-May-20,32.6
16-May-20,33.4
17-May-20,36.2
18-May-20,37.6
19-May-20,40.7
20-May-20,41.1
21-May-20,49.7
22-May-20,50.6
23-May-20,50.4
24-May-20,44.9
25-May-20,41.4
26-May-20,45.8
27-May-20,46.7
28-May-20,46.3
29-May-20,49.7
30-May-20,44
31-May-20,43.9
1-Jun-20,44.7
2-Jun-20,44.4
3-Jun-20,47.1
4-Jun-20,45.2
5-Jun-20,50.5
6-Jun-20,43.9
7-Jun-20,41
8-Jun-20,41.6
9-Jun-20,47.2
10-Jun-20,44
11-Jun-20,41.9
12-Jun-20,49.7
13-Jun-20,52.5
14-Jun-20,55.7
15-Jun-20,52.6
16-Jun-20,52.9
17-Jun-20,52.1
18-Jun-20,53.5
19-Jun-20,54.3
20-Jun-20,55.4
21-Jun-20,52.3
22-Jun-20,51.5
23-Jun-20,51.2
24-Jun-20,48.1
25-Jun-20,52.7
26-Jun-20,55.9
27-Jun-20,56.8
28-Jun-20,59
29-Jun-20,55
30-Jun-20,48.4
1-Jul-20,45
2-Jul-20,53.2
3-Jul-20,54.4
4-Jul-20,53.8
5-Jul-20,51.8
6-Jul-20,58.4
7-Jul-20,49.6
8-Jul-20,45
9-Jul-20,46.9
10-Jul-20,59.5
11-Jul-20,59.4
12-Jul-20,48.7
13-Jul-20,45
14-Jul-20,45.8
15-Jul-20,46.8
16-Jul-20,53.4
17-Jul-20,50.6
18-Jul-20,55
19-Jul-20,55.3
20-Jul-20,53.5
21-Jul-20,53.3
22-Jul-20,45.5
23-Jul-20,43.8
24-Jul-20,46.8
25-Jul-20,49.1
26-Jul-20,56.1
27-Jul-20,59.7
28-Jul-20,54.4
29-Jul-20,58.1
30-Jul-20,47.4
31-Jul-20,46.4
1-Aug-20,47.3
2-Aug-20,56.6
3-Aug-20,55.6
4-Aug-20,49.6
5-Aug-20,47.9
6-Aug-20,49.4
7-Aug-20,51.3
8-Aug-20,61.3
9-Aug-20,55.7
10-Aug-20,60.1
11-Aug-20,61.7
12-Aug-20,63.3
13-Aug-20,63.9
14-Aug-20,64.7
15-Aug-20,63.8
16-Aug-20,62.6
17-Aug-20,64.5
18-Aug-20,63.9
19-Aug-20,59.1
20-Aug-20,58
21-Aug-20,63
22-Aug-20,56
23-Aug-20,56.1
24-Aug-20,53.4
25-Aug-20,52.9
26-Aug-20,54.7
27-Aug-20,57.7
28-Aug-20,51.5
29-Aug-20,53.9
30-Aug-20,53.5
31-Aug-20,49.9
