Date,Avg_DP,day,month
25-Jul-20,65.5,25,7
26-Jul-20,71.1,26,7
27-Jul-20,68.8,27,7
28-Jul-20,60,28,7
29-Jul-20,64.3,29,7
30-Jul-20,61.3,30,7
31-Jul-20,59.8,31,7
1-Aug-20,62.2,1,8
2-Aug-20,63.7,2,8
3-Aug-20,59.9,3,8
4-Aug-20,49,4,8
5-Aug-20,50.7,5,8
6-Aug-20,53.9,6,8
7-Aug-20,56.4,7,8
8-Aug-20,61.5,8,8
9-Aug-20,68.3,9,8
10-Aug-20,70.4,10,8
11-Aug-20,57.9,11,8
12-Aug-20,58.6,12,8
13-Aug-20,60.8,13,8
14-Aug-20,60.3,14,8
15-Aug-20,65,15,8
16-Aug-20,54.6,16,8
17-Aug-20,54.5,17,8
18-Aug-20,53,18,8
19-Aug-20,52.4,19,8
20-Aug-20,52.7,20,8
21-Aug-20,56.6,21,8
22-Aug-20,59,22,8
23-Aug-20,62.5,23,8
24-Aug-20,66.6,24,8
25-Aug-20,64.7,25,8
26-Aug-20,67,26,8
27-Aug-20,70,27,8
28-Aug-20,70,28,8
29-Aug-20,54.9,29,8
30-Aug-20,55.4,30,8
31-Aug-20,57.7,31,8
