Date-1,Avg_DP,Date,Cases - Total
7/3/2020,60.3,7/5/2020,88
7/4/2020,66.3,7/6/2020,284
7/5/2020,62.9,7/7/2020,348
7/6/2020,62.4,7/8/2020,310
7/7/2020,66.1,7/9/2020,288
7/8/2020,67.2,7/10/2020,343
7/9/2020,68.4,7/11/2020,156
7/10/2020,66.8,7/12/2020,97
7/11/2020,62.5,7/13/2020,338
7/12/2020,62.4,7/14/2020,322
7/13/2020,59,7/15/2020,269
7/14/2020,58.9,7/16/2020,297
7/15/2020,66.2,7/17/2020,325
7/16/2020,65.3,7/18/2020,134
7/17/2020,65.7,7/19/2020,101
7/18/2020,73.5,7/20/2020,390
7/19/2020,69.9,7/21/2020,288
7/20/2020,61.2,7/22/2020,369
7/21/2020,65.3,7/23/2020,318
7/22/2020,67.8,7/24/2020,344
7/23/2020,60.6,7/25/2020,157
7/24/2020,65.2,7/26/2020,97
7/25/2020,65.5,7/27/2020,365
7/26/2020,71.1,7/28/2020,335
7/27/2020,68.8,7/29/2020,444
7/28/2020,60,7/30/2020,341
7/29/2020,64.3,7/31/2020,393
7/30/2020,61.3,8/1/2020,141
7/31/2020,59.8,8/2/2020,93
8/1/2020,62.2,8/3/2020,422
8/2/2020,63.7,8/4/2020,368
8/3/2020,59.9,8/5/2020,377
8/4/2020,49,8/6/2020,349
8/5/2020,50.7,8/7/2020,416
8/6/2020,53.9,8/8/2020,176
8/7/2020,56.4,8/9/2020,116
8/8/2020,61.5,8/10/2020,379
8/9/2020,68.3,8/11/2020,385
8/10/2020,70.4,8/12/2020,433
8/11/2020,57.9,8/13/2020,392
8/12/2020,58.6,8/14/2020,348
8/13/2020,60.8,8/15/2020,223
8/14/2020,60.3,8/16/2020,123
8/15/2020,65,8/17/2020,499
8/16/2020,54.6,8/18/2020,394
8/17/2020,54.5,8/19/2020,470
8/18/2020,53,8/20/2020,396
8/19/2020,52.4,8/21/2020,413
8/20/2020,52.7,8/22/2020,183
8/21/2020,56.6,8/23/2020,111
8/22/2020,59,8/24/2020,519
8/23/2020,62.5,8/25/2020,395
8/24/2020,66.6,8/26/2020,382
8/25/2020,64.7,8/27/2020,353
8/26/2020,67,8/28/2020,377
8/27/2020,70,8/29/2020,222
8/28/2020,70,8/30/2020,90
8/29/2020,54.9,8/31/2020,342
,,,
,,,
,,,
,,,
