Date-1,Avg_DP,Date,Case-Total
2/15/2020,6.0,2/29/2020,1
2/20/2020,10.1,3/5/2020,3
2/21/2020,3.1,3/6/2020,8
2/22/2020,5.7,3/7/2020,7
2/23/2020,13.6,3/8/2020,21
2/28/2020,8.3,3/13/2020,620
2/29/2020,8.5,3/14/2020,644
3/1/2020,13.7,3/15/2020,1037
3/7/2020,16.5,3/21/2020,2638
3/8/2020,14.8,3/22/2020,2580
3/15/2020,18.8,3/29/2020,3561
3/22/2020,15.6,4/5/2020,3793
4/11/2020,18.8,4/25/2020,1595
4/16/2020,19.5,4/30/2020,2024
4/22/2020,15.5,5/6/2020,1402
