Date,Avg_DP
8-Jan-20,20.2
9-Jan-20,24.9
10-Jan-20,40.9
11-Jan-20,43.6
12-Jan-20,21.8
13-Jan-20,25.2
14-Jan-20,22.7
15-Jan-20,20.4
16-Jan-20,7.8
17-Jan-20,34.6
18-Jan-20,47.8
19-Jan-20,46.6
20-Jan-20,35.7
21-Jan-20,36.5
22-Jan-20,35.2
23-Jan-20,33.3
24-Jan-20,4
25-Jan-20,17.5
26-Jan-20,24.9
27-Jan-20,5.3
28-Jan-20,8
29-Jan-20,15.5
30-Jan-20,19.5
31-Jan-20,28.5
1-Feb-20,38.6
2-Feb-20,28.7
3-Feb-20,27
4-Feb-20,24.8
5-Feb-20,16.2
6-Feb-20,16.2
7-Feb-20,29.9
8-Feb-20,34.9
9-Feb-20,30.9
10-Feb-20,33.1
11-Feb-20,40.5
12-Feb-20,27.1
13-Feb-20,35.4
14-Feb-20,33
15-Feb-20,16
16-Feb-20,27.9
17-Feb-20,37.6
18-Feb-20,40.5
19-Feb-20,23.9
20-Feb-20,35.1
21-Feb-20,10.3
22-Feb-20,6
23-Feb-20,23.3
24-Feb-20,23.5
25-Feb-20,34.5
26-Feb-20,21.6
27-Feb-20,10.1
28-Feb-20,3.1
29-Feb-20,5.7
1-Mar-20,13.6
2-Mar-20,26.3
3-Mar-20,41.3
4-Mar-20,41.9
5-Mar-20,26.9
6-Mar-20,8.3
7-Mar-20,8.5
8-Mar-20,13.7
9-Mar-20,30.5
10-Mar-20,44.6
11-Mar-20,28.5
12-Mar-20,25.4
13-Mar-20,34
14-Mar-20,16.5
15-Mar-20,14.8
16-Mar-20,23.4
17-Mar-20,40.6
18-Mar-20,27.7
19-Mar-20,37
20-Mar-20,40.8
21-Mar-20,21.7
22-Mar-20,18.8
23-Mar-20,22
24-Mar-20,38.4
25-Mar-20,26.9
26-Mar-20,40.4
27-Mar-20,47.1
28-Mar-20,21.3
29-Mar-20,15.6
30-Mar-20,33.7
31-Mar-20,32
1-Apr-20,34
2-Apr-20,32.5
3-Apr-20,34.5
4-Apr-20,38.4
5-Apr-20,43.2
6-Apr-20,40.1
7-Apr-20,35.7
8-Apr-20,28.3
9-Apr-20,28
10-Apr-20,38.2
11-Apr-20,40.1
12-Apr-20,43.3
13-Apr-20,33
14-Apr-20,29.9
15-Apr-20,45.5
16-Apr-20,41.4
17-Apr-20,26.4
18-Apr-20,18.8
19-Apr-20,34
20-Apr-20,53.1
21-Apr-20,29.9
22-Apr-20,21.6
23-Apr-20,19.5
24-Apr-20,22
25-Apr-20,36.9
26-Apr-20,27.4
27-Apr-20,29.8
28-Apr-20,38.2
29-Apr-20,15.5
30-Apr-20,21.4
1-May-20,42.5
2-May-20,37
3-May-20,41.6
4-May-20,36
5-May-20,34
6-May-20,42.7
7-May-20,50.3
8-May-20,52
9-May-20,36.3
10-May-20,46.6
11-May-20,38.8
12-May-20,23.8
13-May-20,39.3
14-May-20,28
15-May-20,33.9
16-May-20,24.1
17-May-20,22.7
18-May-20,38.4
19-May-20,24.3
20-May-20,27.5
21-May-20,36.8
22-May-20,55.1
23-May-20,50.7
24-May-20,43.4
25-May-20,46.5
26-May-20,36.3
27-May-20,34.2
28-May-20,43.1
29-May-20,56.4
30-May-20,58
31-May-20,46.5
1-Jun-20,53.9
2-Jun-20,56.8
3-Jun-20,59
4-Jun-20,63.2
5-Jun-20,64.2
6-Jun-20,53.7
7-Jun-20,36.9
8-Jun-20,35.2
9-Jun-20,40.7
10-Jun-20,59.8
11-Jun-20,59.8
12-Jun-20,66.3
13-Jun-20,61.9
14-Jun-20,45.3
15-Jun-20,44.9
16-Jun-20,52.1
17-Jun-20,62
18-Jun-20,65.9
19-Jun-20,52.3
20-Jun-20,42.5
21-Jun-20,42.1
22-Jun-20,48.7
23-Jun-20,49.2
24-Jun-20,57.3
25-Jun-20,63
26-Jun-20,62.7
27-Jun-20,63.4
28-Jun-20,63.4
29-Jun-20,63.8
30-Jun-20,65.7
1-Jul-20,58.2
2-Jul-20,52.5
3-Jul-20,53.8
4-Jul-20,62.2
5-Jul-20,66.5
6-Jul-20,63
7-Jul-20,61.8
8-Jul-20,62.9
9-Jul-20,61.1
10-Jul-20,66.7
11-Jul-20,63.9
12-Jul-20,64
13-Jul-20,63.4
14-Jul-20,67.5
15-Jul-20,69.6
16-Jul-20,68
17-Jul-20,71.3
18-Jul-20,70.8
19-Jul-20,61.3
20-Jul-20,60.7
21-Jul-20,59.2
22-Jul-20,63.5
23-Jul-20,59.1
24-Jul-20,67.1
25-Jul-20,64.5
26-Jul-20,67.4
27-Jul-20,67.8
28-Jul-20,62.4
29-Jul-20,70.7
30-Jul-20,69.9
31-Jul-20,68.8
1-Aug-20,68.2
2-Aug-20,63.5
3-Aug-20,62.4
4-Aug-20,67.2
5-Aug-20,67.4
6-Aug-20,61.6
7-Aug-20,66.8
8-Aug-20,64.9
9-Aug-20,72.6
10-Aug-20,65
11-Aug-20,69.3
12-Aug-20,62.2
13-Aug-20,60.3
14-Aug-20,64.9
15-Aug-20,66.8
16-Aug-20,68
17-Aug-20,69.5
18-Aug-20,71.6
19-Aug-20,72.5
20-Aug-20,69.1
21-Aug-20,66.3
22-Aug-20,59.7
23-Aug-20,62.6
24-Aug-20,61.6
25-Aug-20,59.9
26-Aug-20,61.9
27-Aug-20,53.3
28-Aug-20,62.1
29-Aug-20,65.7
30-Aug-20,68
31-Aug-20,67.1
