Date,Cases - Total,Date-1,Avg_DP
3/1/2020,0,2/16/2020,21.8
3/2/2020,0,2/17/2020,29.9
3/3/2020,0,2/18/2020,26.6
3/8/2020,3,2/23/2020,28
3/9/2020,5,2/24/2020,30.2
3/10/2020,11,2/25/2020,31
3/11/2020,12,2/26/2020,23
3/15/2020,40,3/1/2020,32.9
3/16/2020,78,3/2/2020,30.6
3/17/2020,96,3/3/2020,28.4
3/18/2020,162,3/4/2020,26.5
3/19/2020,186,3/5/2020,26.8
3/20/2020,156,3/6/2020,23.1
3/21/2020,125,3/7/2020,21.9
3/22/2020,169,3/8/2020,25.3
3/24/2020,352,3/10/2020,34.7
3/25/2020,368,3/11/2020,31.7
3/26/2020,415,3/12/2020,37
3/28/2020,253,3/14/2020,24.8
3/29/2020,283,3/15/2020,25.1
3/30/2020,443,3/16/2020,33.6
3/31/2020,490,3/17/2020,24.9
4/1/2020,460,3/18/2020,37.1
4/3/2020,468,3/20/2020,36.3
4/5/2020,292,3/22/2020,28.1
4/6/2020,586,3/23/2020,32.9
4/7/2020,561,3/24/2020,33.2
4/8/2020,702,3/25/2020,39.8
4/12/2020,341,3/29/2020,39.5
4/13/2020,693,3/30/2020,33.3
4/14/2020,663,3/31/2020,34.3
4/15/2020,633,4/1/2020,36.3
4/16/2020,681,4/2/2020,33.1
4/17/2020,780,4/3/2020,39.5
4/18/2020,538,4/4/2020,39
4/19/2020,464,4/5/2020,28.4
4/23/2020,1471,4/9/2020,24.9
4/24/2020,1080,4/10/2020,23.9
4/25/2020,637,4/11/2020,32
4/27/2020,1158,4/13/2020,27
5/1/2020,1173,4/17/2020,31.7
5/2/2020,718,4/18/2020,31.4
5/3/2020,466,4/19/2020,32.5
5/4/2020,1133,4/20/2020,33.2
5/6/2020,976,4/22/2020,31
5/10/2020,307,4/26/2020,31.6
5/14/2020,780,4/30/2020,39.4
5/15/2020,991,5/1/2020,36.1
5/17/2020,326,5/3/2020,36
5/18/2020,948,5/4/2020,34.1
5/19/2020,897,5/5/2020,36.5
5/20/2020,777,5/6/2020,26.3
5/21/2020,806,5/7/2020,33.3
5/22/2020,726,5/8/2020,25.3
5/23/2020,328,5/9/2020,22.3
5/24/2020,280,5/10/2020,38.5
5/25/2020,252,5/11/2020,33.2
5/26/2020,754,5/12/2020,28.9
5/27/2020,614,5/13/2020,31.6
