Date,Avg_DP
15-Jan-20,20.2
16-Jan-20,24.9
17-Jan-20,40.9
18-Jan-20,43.6
19-Jan-20,21.8
20-Jan-20,25.2
21-Jan-20,22.7
22-Jan-20,20.4
23-Jan-20,7.8
24-Jan-20,34.6
25-Jan-20,47.8
26-Jan-20,46.6
27-Jan-20,35.7
28-Jan-20,36.5
29-Jan-20,35.2
30-Jan-20,33.3
31-Jan-20,4
1-Feb-20,17.5
2-Feb-20,24.9
3-Feb-20,5.3
4-Feb-20,8
5-Feb-20,15.5
6-Feb-20,19.5
7-Feb-20,28.5
8-Feb-20,38.6
9-Feb-20,28.7
10-Feb-20,27
11-Feb-20,24.8
12-Feb-20,16.2
13-Feb-20,16.2
14-Feb-20,29.9
15-Feb-20,34.9
16-Feb-20,30.9
17-Feb-20,33.1
18-Feb-20,40.5
19-Feb-20,27.1
20-Feb-20,35.4
21-Feb-20,33
22-Feb-20,16
23-Feb-20,27.9
24-Feb-20,37.6
25-Feb-20,40.5
26-Feb-20,23.9
27-Feb-20,35.1
28-Feb-20,10.3
29-Feb-20,6
1-Mar-20,23.3
2-Mar-20,23.5
3-Mar-20,34.5
4-Mar-20,21.6
5-Mar-20,10.1
6-Mar-20,3.1
7-Mar-20,5.7
8-Mar-20,13.6
9-Mar-20,26.3
10-Mar-20,41.3
11-Mar-20,41.9
12-Mar-20,26.9
13-Mar-20,8.3
14-Mar-20,8.5
15-Mar-20,13.7
16-Mar-20,30.5
17-Mar-20,44.6
18-Mar-20,28.5
19-Mar-20,25.4
20-Mar-20,34
21-Mar-20,16.5
22-Mar-20,14.8
23-Mar-20,23.4
24-Mar-20,40.6
25-Mar-20,27.7
26-Mar-20,37
27-Mar-20,40.8
28-Mar-20,21.7
29-Mar-20,18.8
30-Mar-20,22
31-Mar-20,38.4
1-Apr-20,26.9
2-Apr-20,40.4
3-Apr-20,47.1
4-Apr-20,21.3
5-Apr-20,15.6
6-Apr-20,33.7
7-Apr-20,32
8-Apr-20,34
9-Apr-20,32.5
10-Apr-20,34.5
11-Apr-20,38.4
12-Apr-20,43.2
13-Apr-20,40.1
14-Apr-20,35.7
15-Apr-20,28.3
16-Apr-20,28
17-Apr-20,38.2
18-Apr-20,40.1
19-Apr-20,43.3
20-Apr-20,33
21-Apr-20,29.9
22-Apr-20,45.5
23-Apr-20,41.4
24-Apr-20,26.4
25-Apr-20,18.8
26-Apr-20,34
27-Apr-20,53.1
28-Apr-20,29.9
29-Apr-20,21.6
30-Apr-20,19.5
1-May-20,22
2-May-20,36.9
3-May-20,27.4
4-May-20,29.8
5-May-20,38.2
6-May-20,15.5
7-May-20,21.4
8-May-20,42.5
9-May-20,37
10-May-20,41.6
11-May-20,36
12-May-20,34
13-May-20,42.7
14-May-20,50.3
15-May-20,52
16-May-20,36.3
17-May-20,46.6
18-May-20,38.8
19-May-20,23.8
20-May-20,39.3
21-May-20,28
22-May-20,33.9
23-May-20,24.1
24-May-20,22.7
25-May-20,38.4
26-May-20,24.3
27-May-20,27.5
28-May-20,36.8
29-May-20,55.1
30-May-20,50.7
31-May-20,43.4
1-Jun-20,46.5
2-Jun-20,36.3
3-Jun-20,34.2
4-Jun-20,43.1
5-Jun-20,56.4
6-Jun-20,58
7-Jun-20,46.5
8-Jun-20,53.9
9-Jun-20,56.8
10-Jun-20,59
11-Jun-20,63.2
12-Jun-20,64.2
13-Jun-20,53.7
14-Jun-20,36.9
15-Jun-20,35.2
16-Jun-20,40.7
17-Jun-20,59.8
18-Jun-20,59.8
19-Jun-20,66.3
20-Jun-20,61.9
21-Jun-20,45.3
22-Jun-20,44.9
23-Jun-20,52.1
24-Jun-20,62
25-Jun-20,65.9
26-Jun-20,52.3
27-Jun-20,42.5
28-Jun-20,42.1
29-Jun-20,48.7
30-Jun-20,49.2
1-Jul-20,57.3
2-Jul-20,63
3-Jul-20,62.7
4-Jul-20,63.4
5-Jul-20,63.4
6-Jul-20,63.8
7-Jul-20,65.7
8-Jul-20,58.2
9-Jul-20,52.5
10-Jul-20,53.8
11-Jul-20,62.2
12-Jul-20,66.5
13-Jul-20,63
14-Jul-20,61.8
15-Jul-20,62.9
16-Jul-20,61.1
17-Jul-20,66.7
18-Jul-20,63.9
19-Jul-20,64
20-Jul-20,63.4
21-Jul-20,67.5
22-Jul-20,69.6
23-Jul-20,68
24-Jul-20,71.3
25-Jul-20,70.8
26-Jul-20,61.3
27-Jul-20,60.7
28-Jul-20,59.2
29-Jul-20,63.5
30-Jul-20,59.1
31-Jul-20,67.1
1-Aug-20,64.5
2-Aug-20,67.4
3-Aug-20,67.8
4-Aug-20,62.4
5-Aug-20,70.7
6-Aug-20,69.9
7-Aug-20,68.8
8-Aug-20,68.2
9-Aug-20,63.5
10-Aug-20,62.4
11-Aug-20,67.2
12-Aug-20,67.4
13-Aug-20,61.6
14-Aug-20,66.8
15-Aug-20,64.9
16-Aug-20,72.6
17-Aug-20,65
18-Aug-20,69.3
19-Aug-20,62.2
20-Aug-20,60.3
21-Aug-20,64.9
22-Aug-20,66.8
23-Aug-20,68
24-Aug-20,69.5
25-Aug-20,71.6
26-Aug-20,72.5
27-Aug-20,69.1
28-Aug-20,66.3
29-Aug-20,59.7
30-Aug-20,62.6
31-Aug-20,61.6
