Date,Cases - Total,Date-1,Avg_DP
3/1/2020,0,2/16/2020,21.8
3/2/2020,0,2/17/2020,29.9
3/3/2020,0,2/18/2020,26.6
3/4/2020,0,2/19/2020,4.8
3/5/2020,1,2/20/2020,-2.6
3/6/2020,3,2/21/2020,8.7
3/7/2020,3,2/22/2020,20.9
3/8/2020,3,2/23/2020,28
3/9/2020,5,2/24/2020,30.2
3/10/2020,11,2/25/2020,31
3/11/2020,12,2/26/2020,23
3/12/2020,21,2/27/2020,13.4
3/13/2020,33,2/28/2020,6.8
3/14/2020,31,2/29/2020,9.2
3/15/2020,40,3/1/2020,32.9
3/16/2020,78,3/2/2020,30.6
3/17/2020,96,3/3/2020,28.4
3/18/2020,162,3/4/2020,26.5
3/19/2020,186,3/5/2020,26.8
3/20/2020,156,3/6/2020,23.1
3/21/2020,125,3/7/2020,21.9
3/22/2020,169,3/8/2020,25.3
3/23/2020,292,3/9/2020,46.4
3/24/2020,352,3/10/2020,34.7
3/25/2020,368,3/11/2020,31.7
3/26/2020,415,3/12/2020,37
3/27/2020,406,3/13/2020,20
3/28/2020,253,3/14/2020,24.8
3/29/2020,283,3/15/2020,25.1
3/30/2020,443,3/16/2020,33.6
3/31/2020,490,3/17/2020,24.9
4/1/2020,460,3/18/2020,37.1
4/2/2020,442,3/19/2020,48
4/3/2020,468,3/20/2020,36.3
4/4/2020,326,3/21/2020,17.7
4/5/2020,292,3/22/2020,28.1
4/6/2020,586,3/23/2020,32.9
4/7/2020,561,3/24/2020,33.2
4/8/2020,702,3/25/2020,39.8
4/9/2020,580,3/26/2020,42.2
4/10/2020,572,3/27/2020,43.1
4/11/2020,398,3/28/2020,50.2
4/12/2020,341,3/29/2020,39.5
4/13/2020,693,3/30/2020,33.3
4/14/2020,663,3/31/2020,34.3
4/15/2020,633,4/1/2020,36.3
4/16/2020,681,4/2/2020,33.1
4/17/2020,780,4/3/2020,39.5
4/18/2020,538,4/4/2020,39
4/19/2020,464,4/5/2020,28.4
4/20/2020,993,4/6/2020,42.1
4/21/2020,874,4/7/2020,58.3
4/22/2020,1060,4/8/2020,50.1
4/23/2020,1471,4/9/2020,24.9
4/24/2020,1080,4/10/2020,23.9
4/25/2020,637,4/11/2020,32
4/26/2020,434,4/12/2020,49.2
4/27/2020,1158,4/13/2020,27
4/28/2020,1323,4/14/2020,17.7
4/29/2020,1156,4/15/2020,20.9
4/30/2020,1283,4/16/2020,14.9
5/1/2020,1173,4/17/2020,31.7
5/2/2020,718,4/18/2020,31.4
5/3/2020,466,4/19/2020,32.5
5/4/2020,1133,4/20/2020,33.2
5/5/2020,1092,4/21/2020,18.5
5/6/2020,976,4/22/2020,31
5/7/2020,939,4/23/2020,43.5
5/8/2020,926,4/24/2020,40.1
5/9/2020,522,4/25/2020,40.7
5/10/2020,307,4/26/2020,31.6
5/11/2020,1016,4/27/2020,41.1
5/12/2020,943,4/28/2020,57.1
5/13/2020,878,4/29/2020,52
5/14/2020,780,4/30/2020,39.4
5/15/2020,991,5/1/2020,36.1
5/16/2020,516,5/2/2020,47
5/17/2020,326,5/3/2020,36
5/18/2020,948,5/4/2020,34.1
5/19/2020,897,5/5/2020,36.5
5/20/2020,777,5/6/2020,26.3
5/21/2020,806,5/7/2020,33.3
5/22/2020,726,5/8/2020,25.3
5/23/2020,328,5/9/2020,22.3
5/24/2020,280,5/10/2020,38.5
5/25/2020,252,5/11/2020,33.2
5/26/2020,754,5/12/2020,28.9
5/27/2020,614,5/13/2020,31.6
5/28/2020,521,5/14/2020,59.5
5/29/2020,463,5/15/2020,59.7
5/30/2020,243,5/16/2020,48.5
5/31/2020,120,5/17/2020,60.6
6/1/2020,238,5/18/2020,55.7
6/2/2020,246,5/19/2020,54.1
6/3/2020,284,5/20/2020,49.8
6/4/2020,322,5/21/2020,51.2
6/5/2020,339,5/22/2020,56.2
6/6/2020,171,5/23/2020,61.3
6/7/2020,110,5/24/2020,64
6/8/2020,272,5/25/2020,64.3
6/9/2020,257,5/26/2020,64.9
6/10/2020,235,5/27/2020,65.8
6/11/2020,204,5/28/2020,65.3
6/12/2020,247,5/29/2020,54.3
6/13/2020,121,5/30/2020,47
6/14/2020,92,5/31/2020,40.3
6/15/2020,234,6/1/2020,44.2
