Date,Cases - Total,Date-1,Avg_DP
3/16/2020,78,3/9/2020,46.4
3/26/2020,415,3/19/2020,48
4/2/2020,442,3/26/2020,42.2
4/3/2020,468,3/27/2020,43.1
4/4/2020,326,3/28/2020,50.2
4/13/2020,693,4/6/2020,42.1
4/14/2020,663,4/7/2020,58.3
4/15/2020,633,4/8/2020,50.1
4/19/2020,464,4/12/2020,49.2
4/30/2020,1283,4/23/2020,43.5
5/4/2020,1133,4/27/2020,41.1
5/5/2020,1092,4/28/2020,57.1
5/6/2020,976,4/29/2020,52
5/9/2020,522,5/2/2020,47
5/21/2020,806,5/14/2020,59.5
5/22/2020,726,5/15/2020,59.7
5/23/2020,328,5/16/2020,48.5
5/25/2020,252,5/18/2020,55.7
5/26/2020,754,5/19/2020,54.1
5/27/2020,614,5/20/2020,49.8
5/28/2020,521,5/21/2020,51.2
5/29/2020,463,5/22/2020,56.2
6/5/2020,339,5/29/2020,54.3
6/6/2020,171,5/30/2020,47
6/8/2020,272,6/1/2020,44.2
6/13/2020,121,6/6/2020,52.5
6/14/2020,92,6/7/2020,52.8
6/15/2020,234,6/8/2020,50.9
6/18/2020,184,6/11/2020,49
6/19/2020,219,6/12/2020,49.3
6/20/2020,124,6/13/2020,45.8
6/21/2020,47,6/14/2020,43.2
6/22/2020,220,6/15/2020,43.4
6/23/2020,233,6/16/2020,54.1
6/24/2020,244,6/17/2020,53.2
6/25/2020,247,6/18/2020,52.4
6/26/2020,218,6/19/2020,57
6/30/2020,266,6/23/2020,54.2
7/1/2020,262,6/24/2020,53.8
7/2/2020,254,6/25/2020,54.8
7/20/2020,390,7/13/2020,59
7/21/2020,288,7/14/2020,58.9
8/4/2020,368,7/28/2020,60
8/7/2020,416,7/31/2020,59.8
8/10/2020,379,8/3/2020,59.9
8/11/2020,385,8/4/2020,49
8/12/2020,433,8/5/2020,50.7
8/13/2020,392,8/6/2020,53.9
8/14/2020,348,8/7/2020,56.4
8/18/2020,394,8/11/2020,57.9
8/19/2020,470,8/12/2020,58.6
8/23/2020,111,8/16/2020,54.6
8/24/2020,519,8/17/2020,54.5
8/25/2020,395,8/18/2020,53
8/26/2020,382,8/19/2020,52.4
8/27/2020,353,8/20/2020,52.7
8/28/2020,377,8/21/2020,56.6
8/29/2020,222,8/22/2020,59
