Date-1,Avg_DP,Date,Case-Total
2/25/2020,41.3,3/10/2020,70
2/26/2020,41.9,3/11/2020,155
3/3/2020,44.6,3/17/2020,2453
3/20/2020,47.1,4/3/2020,5676
3/29/2020,43.2,4/12/2020,2890
4/5/2020,43.3,4/19/2020,2346
4/8/2020,45.5,4/22/2020,3462
4/9/2020,41.4,4/23/2020,2843
4/13/2020,53.1,4/27/2020,2298
4/24/2020,42.5,5/8/2020,1081
4/26/2020,41.6,5/10/2020,458
4/29/2020,42.7,5/13/2020,1336
4/30/2020,50.3,5/14/2020,1112
5/1/2020,52,5/15/2020,875
5/3/2020,46.6,5/17/2020,359
5/15/2020,55.1,5/29/2020,647
5/16/2020,50.7,5/30/2020,348
5/17/2020,43.4,5/31/2020,231
5/18/2020,46.5,6/1/2020,688
5/21/2020,43.1,6/4/2020,510
5/22/2020,56.4,6/5/2020,404
5/23/2020,58,6/6/2020,247
5/24/2020,46.5,6/7/2020,199
5/25/2020,53.9,6/8/2020,444
5/26/2020,56.8,6/9/2020,421
5/27/2020,59,6/10/2020,365
5/30/2020,53.7,6/13/2020,196
6/3/2020,59.8,6/17/2020,356
6/4/2020,59.8,6/18/2020,380
6/7/2020,45.3,6/21/2020,176
6/8/2020,44.9,6/22/2020,397
6/9/2020,52.1,6/23/2020,383
6/12/2020,52.3,6/26/2020,311
6/13/2020,42.5,6/27/2020,208
6/14/2020,42.1,6/28/2020,202
6/15/2020,48.7,6/29/2020,437
6/16/2020,49.2,6/30/2020,447
6/17/2020,57.3,7/1/2020,398
6/24/2020,58.2,7/8/2020,435
6/25/2020,52.5,7/9/2020,395
6/26/2020,53.8,7/10/2020,309
7/14/2020,59.2,7/28/2020,312
7/16/2020,59.1,7/30/2020,267
8/15/2020,59.7,8/29/2020,114
