Date,Avg_DP
8-Jan-20,24.5
9-Jan-20,33.3
10-Jan-20,30.3
11-Jan-20,25
12-Jan-20,25.3
13-Jan-20,20
14-Jan-20,22.2
15-Jan-20,6.8
16-Jan-20,30.4
17-Jan-20,41.9
18-Jan-20,30.5
19-Jan-20,24.4
20-Jan-20,27.9
21-Jan-20,31.7
22-Jan-20,31.4
23-Jan-20,10
24-Jan-20,17.9
25-Jan-20,24
26-Jan-20,2.5
27-Jan-20,15.5
28-Jan-20,16.3
29-Jan-20,19.6
30-Jan-20,29.3
31-Jan-20,35.6
1-Feb-20,32.4
2-Feb-20,27.6
3-Feb-20,27.6
4-Feb-20,25
5-Feb-20,25.3
6-Feb-20,23.5
7-Feb-20,28.7
8-Feb-20,30.9
9-Feb-20,31.8
10-Feb-20,31.8
11-Feb-20,25.6
12-Feb-20,21
13-Feb-20,23.9
14-Feb-20,16.8
15-Feb-20,21.7
16-Feb-20,27.8
17-Feb-20,24.6
18-Feb-20,20.9
19-Feb-20,26.4
20-Feb-20,13.7
21-Feb-20,-5.5
22-Feb-20,14.7
23-Feb-20,21.8
24-Feb-20,29.9
25-Feb-20,26.6
26-Feb-20,4.8
27-Feb-20,-2.6
28-Feb-20,8.7
29-Feb-20,20.9
1-Mar-20,28
2-Mar-20,30.2
3-Mar-20,31
4-Mar-20,23
5-Mar-20,13.4
6-Mar-20,6.8
7-Mar-20,9.2
8-Mar-20,32.9
9-Mar-20,30.6
10-Mar-20,28.4
11-Mar-20,26.5
12-Mar-20,26.8
13-Mar-20,23.1
14-Mar-20,21.9
15-Mar-20,25.3
16-Mar-20,46.4
17-Mar-20,34.7
18-Mar-20,31.7
19-Mar-20,37
20-Mar-20,20
21-Mar-20,24.8
22-Mar-20,25.1
23-Mar-20,33.6
24-Mar-20,24.9
25-Mar-20,37.1
26-Mar-20,48
27-Mar-20,36.3
28-Mar-20,17.7
29-Mar-20,28.1
30-Mar-20,32.9
31-Mar-20,33.2
1-Apr-20,39.8
2-Apr-20,42.2
3-Apr-20,43.1
4-Apr-20,50.2
5-Apr-20,39.5
6-Apr-20,33.3
7-Apr-20,34.3
8-Apr-20,36.3
9-Apr-20,33.1
10-Apr-20,39.5
11-Apr-20,39
12-Apr-20,28.4
13-Apr-20,42.1
14-Apr-20,58.3
15-Apr-20,50.1
16-Apr-20,24.9
17-Apr-20,23.9
18-Apr-20,32
19-Apr-20,49.2
20-Apr-20,27
21-Apr-20,17.7
22-Apr-20,20.9
23-Apr-20,14.9
24-Apr-20,31.7
25-Apr-20,31.4
26-Apr-20,32.5
27-Apr-20,33.2
28-Apr-20,18.5
29-Apr-20,31
30-Apr-20,43.5
1-May-20,40.1
2-May-20,40.7
3-May-20,31.6
4-May-20,41.1
5-May-20,57.1
6-May-20,52
7-May-20,39.4
8-May-20,36.1
9-May-20,47
10-May-20,36
11-May-20,34.1
12-May-20,36.5
13-May-20,26.3
14-May-20,33.3
15-May-20,25.3
16-May-20,22.3
17-May-20,38.5
18-May-20,33.2
19-May-20,28.9
20-May-20,31.6
21-May-20,59.5
22-May-20,59.7
23-May-20,48.5
24-May-20,60.6
25-May-20,55.7
26-May-20,54.1
27-May-20,49.8
28-May-20,51.2
29-May-20,56.2
30-May-20,61.3
31-May-20,64
1-Jun-20,64.3
2-Jun-20,64.9
3-Jun-20,65.8
4-Jun-20,65.3
5-Jun-20,54.3
6-Jun-20,47
7-Jun-20,40.3
8-Jun-20,44.2
9-Jun-20,60.4
10-Jun-20,60.5
11-Jun-20,64.4
12-Jun-20,64.8
13-Jun-20,52.5
14-Jun-20,52.8
15-Jun-20,50.9
16-Jun-20,67.3
17-Jun-20,65.4
18-Jun-20,49
19-Jun-20,49.3
20-Jun-20,45.8
21-Jun-20,43.2
22-Jun-20,43.4
23-Jun-20,54.1
24-Jun-20,53.2
25-Jun-20,52.4
26-Jun-20,57
27-Jun-20,62.2
28-Jun-20,64.8
29-Jun-20,66.3
30-Jun-20,54.2
1-Jul-20,53.8
2-Jul-20,54.8
3-Jul-20,66.3
4-Jul-20,68.8
5-Jul-20,68.4
6-Jul-20,69.4
7-Jul-20,69.7
8-Jul-20,64
9-Jul-20,61.8
10-Jul-20,60.3
11-Jul-20,66.3
12-Jul-20,62.9
13-Jul-20,62.4
14-Jul-20,66.1
15-Jul-20,67.2
16-Jul-20,68.4
17-Jul-20,66.8
18-Jul-20,62.5
19-Jul-20,62.4
20-Jul-20,59
21-Jul-20,58.9
22-Jul-20,66.2
23-Jul-20,65.3
24-Jul-20,65.7
25-Jul-20,73.5
26-Jul-20,69.9
27-Jul-20,61.2
28-Jul-20,65.3
29-Jul-20,67.8
30-Jul-20,60.6
31-Jul-20,65.2
1-Aug-20,65.5
2-Aug-20,71.1
3-Aug-20,68.8
4-Aug-20,60
5-Aug-20,64.3
6-Aug-20,61.3
7-Aug-20,59.8
8-Aug-20,62.2
9-Aug-20,63.7
10-Aug-20,59.9
11-Aug-20,49
12-Aug-20,50.7
13-Aug-20,53.9
14-Aug-20,56.4
15-Aug-20,61.5
16-Aug-20,68.3
17-Aug-20,70.4
18-Aug-20,57.9
19-Aug-20,58.6
20-Aug-20,60.8
21-Aug-20,60.3
22-Aug-20,65
23-Aug-20,54.6
24-Aug-20,54.5
25-Aug-20,53
26-Aug-20,52.4
27-Aug-20,52.7
28-Aug-20,56.6
29-Aug-20,59
30-Aug-20,62.5
31-Aug-20,66.6
