Date,Avg_DP,date,total_cases,New_Cases
4/6/2020,42,4/8/2020,17287,874
4/7/2020,40.5,4/9/2020,18086,799
4/8/2020,45.1,4/10/2020,18700,614
4/9/2020,44.9,4/11/2020,19221,521
4/10/2020,45.8,4/12/2020,19722,501
4/11/2020,46.1,4/13/2020,20323,601
4/12/2020,44.1,4/14/2020,20927,604
4/13/2020,33.6,4/15/2020,21587,660
4/14/2020,30.7,4/16/2020,22163,576
4/15/2020,36.6,4/17/2020,22741,578
4/16/2020,42,4/18/2020,23143,402
4/17/2020,42.6,4/19/2020,23539,396
4/18/2020,44,4/20/2020,23973,434
4/19/2020,39.3,4/21/2020,24439,466
4/20/2020,37.1,4/22/2020,24835,396
4/21/2020,37.8,4/23/2020,25358,523
4/22/2020,38.9,4/24/2020,25736,378
4/23/2020,41.7,4/25/2020,26069,333
4/24/2020,41.4,4/26/2020,26379,310
4/25/2020,41.7,4/27/2020,26796,417
4/26/2020,40.8,4/28/2020,27107,311
4/27/2020,42.3,4/29/2020,27538,431
4/28/2020,45.2,4/30/2020,27963,425
4/29/2020,44.8,5/1/2020,28319,356
4/30/2020,43.4,5/2/2020,28568,249
5/1/2020,42.5,5/3/2020,28734,166
5/2/2020,39.1,5/4/2020,28980,246
5/3/2020,42.7,5/5/2020,29201,221
5/4/2020,44.2,5/6/2020,29470,269
5/5/2020,39.2,5/7/2020,29741,271
5/6/2020,39.3,5/8/2020,29948,207
5/7/2020,44.2,5/9/2020,30075,127
5/8/2020,44.5,5/10/2020,30199,124
5/9/2020,45.2,5/11/2020,30358,159
5/10/2020,43.5,5/12/2020,30553,195
5/11/2020,29.7,5/13/2020,30757,204
5/12/2020,31.6,5/14/2020,30914,157
5/13/2020,32.6,5/15/2020,31045,131
5/14/2020,33.4,5/16/2020,31119,74
5/15/2020,36.2,5/17/2020,31198,79
5/16/2020,37.6,5/18/2020,31310,112
5/17/2020,40.7,5/19/2020,31442,132
5/18/2020,41.1,5/20/2020,31586,144
5/19/2020,49.7,5/21/2020,31744,158
5/20/2020,50.6,5/22/2020,31829,85
5/21/2020,50.4,5/23/2020,31894,65
5/22/2020,44.9,5/24/2020,31945,51
5/23/2020,41.4,5/25/2020,32003,58
5/24/2020,45.8,5/26/2020,32069,66
5/25/2020,46.7,5/27/2020,32153,84
5/26/2020,46.3,5/28/2020,32227,74
5/27/2020,49.7,5/29/2020,32284,57
5/28/2020,44,5/30/2020,32323,39
