Date,Max,Avg,Min
24-Jul-20,69,65.2,63
25-Jul-20,69,65.5,62
26-Jul-20,74,71.1,66
27-Jul-20,74,68.8,55
28-Jul-20,64,60,56
29-Jul-20,68,64.3,60
30-Jul-20,66,61.3,54
31-Jul-20,65,59.8,55
1-Aug-20,66,62.2,59
2-Aug-20,68,63.7,59
3-Aug-20,65,59.9,52
4-Aug-20,54,49,39
5-Aug-20,53,50.7,46
6-Aug-20,58,53.9,52
7-Aug-20,59,56.4,54
8-Aug-20,68,61.5,54
9-Aug-20,71,68.3,64
10-Aug-20,74,70.4,65
11-Aug-20,66,57.9,50
12-Aug-20,66,58.6,51
13-Aug-20,68,60.8,50
14-Aug-20,67,60.3,55
15-Aug-20,69,65,61
16-Aug-20,59,54.6,48
17-Aug-20,59,54.5,49
18-Aug-20,59,53,43
19-Aug-20,56,52.4,49
20-Aug-20,56,52.7,51
21-Aug-20,59,56.6,54
22-Aug-20,61,59,56
23-Aug-20,67,62.5,59
24-Aug-20,70,66.6,59
25-Aug-20,71,64.7,57
26-Aug-20,70,67,62
27-Aug-20,72,70,65
28-Aug-20,73,70,65
29-Aug-20,67,54.9,43
30-Aug-20,60,55.4,51
31-Aug-20,66,57.7,54
,,,
,,,
,,,
,,,
,,,
,,,
