Day,Max,Avg,Min
25-Jul-20,63,59.7,57
26-Jul-20,57,54.4,50
27-Jul-20,63,58.1,54
28-Jul-20,54,47.4,43
29-Jul-20,52,46.4,45
30-Jul-20,57,47.3,41
31-Jul-20,63,56.6,50
1-Aug-20,63,55.6,52
2-Aug-20,54,49.6,45
3-Aug-20,55,47.9,41
4-Aug-20,54,49.4,41
5-Aug-20,59,51.3,39
6-Aug-20,64,61.3,54
7-Aug-20,61,55.7,46
8-Aug-20,63,60.1,57
9-Aug-20,64,61.7,59
10-Aug-20,64,63.3,61
11-Aug-20,66,63.9,59
12-Aug-20,66,64.7,63
13-Aug-20,66,63.8,63
14-Aug-20,64,62.6,61
15-Aug-20,66,64.5,63
16-Aug-20,66,63.9,61
17-Aug-20,61,59.1,55
18-Aug-20,61,58,57
19-Aug-20,66,63,59
20-Aug-20,66,56,46
21-Aug-20,61,56.1,54
22-Aug-20,55,53.4,50
23-Aug-20,55,52.9,48
24-Aug-20,61,54.7,52
25-Aug-20,63,57.7,54
26-Aug-20,54,51.5,50
27-Aug-20,59,53.9,50
28-Aug-20,57,53.5,50
29-Aug-20,52,49.9,48
30-Aug-20,50,47.1,41
31-Aug-20,48,44.5,39
,,,
,,,
,,,
,,,
,,,
,,,
