Date-1,Avg_DP,Date,Case-Total
5/28/2020,63.2,6/11/2020,368
5/29/2020,64.2,6/12/2020,410
6/5/2020,66.3,6/19/2020,361
6/6/2020,61.9,6/20/2020,206
6/10/2020,62,6/24/2020,382
6/11/2020,65.9,6/25/2020,297
6/18/2020,63,7/2/2020,417
6/19/2020,62.7,7/3/2020,230
6/20/2020,63.4,7/4/2020,119
6/21/2020,63.4,7/5/2020,155
6/22/2020,63.8,7/6/2020,435
6/23/2020,65.7,7/7/2020,463
6/27/2020,62.2,7/11/2020,256
6/28/2020,66.5,7/12/2020,223
6/29/2020,63,7/13/2020,481
6/30/2020,61.8,7/14/2020,400
7/1/2020,62.9,7/15/2020,439
7/2/2020,61.1,7/16/2020,420
7/3/2020,66.7,7/17/2020,415
7/4/2020,63.9,7/18/2020,217
7/5/2020,64,7/19/2020,175
7/6/2020,63.4,7/20/2020,396
7/7/2020,67.5,7/21/2020,337
7/8/2020,69.6,7/22/2020,326
7/9/2020,68,7/23/2020,306
7/10/2020,71.3,7/24/2020,303
7/11/2020,70.8,7/25/2020,152
7/12/2020,61.3,7/26/2020,139
7/15/2020,63.5,7/29/2020,287
7/17/2020,67.1,7/31/2020,262
7/18/2020,64.5,8/1/2020,184
7/19/2020,67.4,8/2/2020,136
7/20/2020,67.8,8/3/2020,353
7/21/2020,62.4,8/4/2020,192
7/22/2020,70.7,8/5/2020,311
7/23/2020,69.9,8/6/2020,287
7/24/2020,68.8,8/7/2020,264
7/25/2020,68.2,8/8/2020,158
7/26/2020,63.5,8/9/2020,133
7/27/2020,62.4,8/10/2020,299
7/28/2020,67.2,8/11/2020,258
7/29/2020,67.4,8/12/2020,319
7/30/2020,61.6,8/13/2020,260
7/31/2020,66.8,8/14/2020,271
8/1/2020,64.9,8/15/2020,150
8/2/2020,72.6,8/16/2020,138
8/3/2020,65,8/17/2020,329
8/4/2020,69.3,8/18/2020,279
8/5/2020,62.2,8/19/2020,279
8/7/2020,64.9,8/21/2020,243
8/8/2020,66.8,8/22/2020,139
8/9/2020,68,8/23/2020,148
8/10/2020,69.5,8/24/2020,297
8/11/2020,71.6,8/25/2020,278
8/12/2020,72.5,8/26/2020,304
8/13/2020,69.1,8/27/2020,254
8/14/2020,66.3,8/28/2020,262
8/16/2020,62.6,8/30/2020,166
8/17/2020,61.6,8/31/2020,266
