Date,Avg_DP
3-Jan-20,24.5
4-Jan-20,33.3
5-Jan-20,30.3
6-Jan-20,25
7-Jan-20,25.3
8-Jan-20,20
9-Jan-20,22.2
10-Jan-20,6.8
11-Jan-20,30.4
12-Jan-20,41.9
13-Jan-20,30.5
14-Jan-20,24.4
15-Jan-20,27.9
16-Jan-20,31.7
17-Jan-20,31.4
18-Jan-20,10
19-Jan-20,17.9
20-Jan-20,24
21-Jan-20,2.5
22-Jan-20,15.5
23-Jan-20,16.3
24-Jan-20,19.6
25-Jan-20,29.3
26-Jan-20,35.6
27-Jan-20,32.4
28-Jan-20,27.6
29-Jan-20,27.6
30-Jan-20,25
31-Jan-20,25.3
1-Feb-20,23.5
2-Feb-20,28.7
3-Feb-20,30.9
4-Feb-20,31.8
5-Feb-20,31.8
6-Feb-20,25.6
7-Feb-20,21
8-Feb-20,23.9
9-Feb-20,16.8
10-Feb-20,21.7
11-Feb-20,27.8
12-Feb-20,24.6
13-Feb-20,20.9
14-Feb-20,26.4
15-Feb-20,13.7
16-Feb-20,-5.5
17-Feb-20,14.7
18-Feb-20,21.8
19-Feb-20,29.9
20-Feb-20,26.6
21-Feb-20,4.8
22-Feb-20,-2.6
23-Feb-20,8.7
24-Feb-20,20.9
25-Feb-20,28
26-Feb-20,30.2
27-Feb-20,31
28-Feb-20,23
29-Feb-20,13.4
1-Mar-20,6.8
2-Mar-20,9.2
3-Mar-20,32.9
4-Mar-20,30.6
5-Mar-20,28.4
6-Mar-20,26.5
7-Mar-20,26.8
8-Mar-20,23.1
9-Mar-20,21.9
10-Mar-20,25.3
11-Mar-20,46.4
12-Mar-20,34.7
13-Mar-20,31.7
14-Mar-20,37
15-Mar-20,20
16-Mar-20,24.8
17-Mar-20,25.1
18-Mar-20,33.6
19-Mar-20,24.9
20-Mar-20,37.1
21-Mar-20,48
22-Mar-20,36.3
23-Mar-20,17.7
24-Mar-20,28.1
25-Mar-20,32.9
26-Mar-20,33.2
27-Mar-20,39.8
28-Mar-20,42.2
29-Mar-20,43.1
30-Mar-20,50.2
31-Mar-20,39.5
1-Apr-20,33.3
2-Apr-20,34.3
3-Apr-20,36.3
4-Apr-20,33.1
5-Apr-20,39.5
6-Apr-20,39
7-Apr-20,28.4
8-Apr-20,42.1
9-Apr-20,58.3
10-Apr-20,50.1
11-Apr-20,24.9
12-Apr-20,23.9
13-Apr-20,32
14-Apr-20,49.2
15-Apr-20,27
16-Apr-20,17.7
17-Apr-20,20.9
18-Apr-20,14.9
19-Apr-20,31.7
20-Apr-20,31.4
21-Apr-20,32.5
22-Apr-20,33.2
23-Apr-20,18.5
24-Apr-20,31
25-Apr-20,43.5
26-Apr-20,40.1
27-Apr-20,40.7
28-Apr-20,31.6
29-Apr-20,41.1
30-Apr-20,57.1
1-May-20,52
2-May-20,39.4
3-May-20,36.1
4-May-20,47
5-May-20,36
6-May-20,34.1
7-May-20,36.5
8-May-20,26.3
9-May-20,33.3
10-May-20,25.3
11-May-20,22.3
12-May-20,38.5
13-May-20,33.2
14-May-20,28.9
15-May-20,31.6
16-May-20,59.5
17-May-20,59.7
18-May-20,48.5
19-May-20,60.6
20-May-20,55.7
21-May-20,54.1
22-May-20,49.8
23-May-20,51.2
24-May-20,56.2
25-May-20,61.3
26-May-20,64
27-May-20,64.3
28-May-20,64.9
29-May-20,65.8
30-May-20,65.3
31-May-20,54.3
1-Jun-20,47
2-Jun-20,40.3
3-Jun-20,44.2
4-Jun-20,60.4
5-Jun-20,60.5
6-Jun-20,64.4
7-Jun-20,64.8
8-Jun-20,52.5
9-Jun-20,52.8
10-Jun-20,50.9
11-Jun-20,67.3
12-Jun-20,65.4
13-Jun-20,49
14-Jun-20,49.3
15-Jun-20,45.8
16-Jun-20,43.2
17-Jun-20,43.4
18-Jun-20,54.1
19-Jun-20,53.2
20-Jun-20,52.4
21-Jun-20,57
22-Jun-20,62.2
23-Jun-20,64.8
24-Jun-20,66.3
25-Jun-20,54.2
26-Jun-20,53.8
27-Jun-20,54.8
28-Jun-20,66.3
29-Jun-20,68.8
30-Jun-20,68.4
1-Jul-20,69.4
2-Jul-20,69.7
3-Jul-20,64
4-Jul-20,61.8
5-Jul-20,60.3
6-Jul-20,66.3
7-Jul-20,62.9
8-Jul-20,62.4
9-Jul-20,66.1
10-Jul-20,67.2
11-Jul-20,68.4
12-Jul-20,66.8
13-Jul-20,62.5
14-Jul-20,62.4
15-Jul-20,59
16-Jul-20,58.9
17-Jul-20,66.2
18-Jul-20,65.3
19-Jul-20,65.7
20-Jul-20,73.5
21-Jul-20,69.9
22-Jul-20,61.2
23-Jul-20,65.3
24-Jul-20,67.8
25-Jul-20,60.6
26-Jul-20,65.2
27-Jul-20,65.5
28-Jul-20,71.1
29-Jul-20,68.8
30-Jul-20,60
31-Jul-20,64.3
1-Aug-20,61.3
2-Aug-20,59.8
3-Aug-20,62.2
4-Aug-20,63.7
5-Aug-20,59.9
6-Aug-20,49
7-Aug-20,50.7
8-Aug-20,53.9
9-Aug-20,56.4
10-Aug-20,61.5
11-Aug-20,68.3
12-Aug-20,70.4
13-Aug-20,57.9
14-Aug-20,58.6
15-Aug-20,60.8
16-Aug-20,60.3
17-Aug-20,65
18-Aug-20,54.6
19-Aug-20,54.5
20-Aug-20,53
21-Aug-20,52.4
22-Aug-20,52.7
23-Aug-20,56.6
24-Aug-20,59
25-Aug-20,62.5
26-Aug-20,66.6
27-Aug-20,64.7
28-Aug-20,67
29-Aug-20,70
30-Aug-20,70
31-Aug-20,54.9
