Day,Max,Avg,Min
25-Jul-20,71,68.2,60
26-Jul-20,72,63.5,54
27-Jul-20,68,62.4,58
28-Jul-20,70,67.2,64
29-Jul-20,72,67.4,63
30-Jul-20,66,61.6,58
31-Jul-20,69,66.8,60
1-Aug-20,71,64.9,58
2-Aug-20,75,72.6,69
3-Aug-20,73,65,59
4-Aug-20,75,69.3,62
5-Aug-20,69,62.2,55
6-Aug-20,65,60.3,54
7-Aug-20,68,64.9,59
8-Aug-20,68,66.8,65
9-Aug-20,71,68,62
10-Aug-20,73,69.5,60
11-Aug-20,73,71.6,65
12-Aug-20,75,72.5,68
13-Aug-20,72,69.1,63
14-Aug-20,71,66.3,58
15-Aug-20,67,59.7,56
16-Aug-20,65,62.6,58
17-Aug-20,66,61.6,59
18-Aug-20,66,59.9,53
19-Aug-20,66,61.9,59
20-Aug-20,61,53.3,41
21-Aug-20,67,62.1,58
22-Aug-20,68,65.7,61
23-Aug-20,72,68,65
24-Aug-20,71,67.1,62
25-Aug-20,69,63.9,56
26-Aug-20,57,51.8,46
27-Aug-20,68,63.3,55
28-Aug-20,70,64.8,60
29-Aug-20,72,69.5,65
30-Aug-20,64,53.8,50
31-Aug-20,61,55.9,51
