Date,Cases - Total,Date-1,Avg_DP
3/23/2020,292,3/9/2020,46.4
4/2/2020,442,3/19/2020,48
4/9/2020,580,3/26/2020,42.2
4/10/2020,572,3/27/2020,43.1
4/11/2020,398,3/28/2020,50.2
4/20/2020,993,4/6/2020,42.1
4/21/2020,874,4/7/2020,58.3
4/22/2020,1060,4/8/2020,50.1
4/26/2020,434,4/12/2020,49.2
5/7/2020,939,4/23/2020,43.5
5/11/2020,1016,4/27/2020,41.1
5/12/2020,943,4/28/2020,57.1
5/13/2020,878,4/29/2020,52
5/16/2020,516,5/2/2020,47
5/28/2020,521,5/14/2020,59.5
5/29/2020,463,5/15/2020,59.7
5/30/2020,243,5/16/2020,48.5
6/1/2020,238,5/18/2020,55.7
6/2/2020,246,5/19/2020,54.1
6/3/2020,284,5/20/2020,49.8
6/4/2020,322,5/21/2020,51.2
6/5/2020,339,5/22/2020,56.2
6/12/2020,247,5/29/2020,54.3
6/13/2020,121,5/30/2020,47
6/15/2020,234,6/1/2020,44.2
6/20/2020,124,6/6/2020,52.5
6/21/2020,47,6/7/2020,52.8
6/22/2020,220,6/8/2020,50.9
6/25/2020,247,6/11/2020,49
6/26/2020,218,6/12/2020,49.3
6/27/2020,130,6/13/2020,45.8
6/28/2020,112,6/14/2020,43.2
6/29/2020,280,6/15/2020,43.4
6/30/2020,266,6/16/2020,54.1
7/1/2020,262,6/17/2020,53.2
7/2/2020,254,6/18/2020,52.4
7/3/2020,175,6/19/2020,57
7/7/2020,348,6/23/2020,54.2
7/8/2020,310,6/24/2020,53.8
7/9/2020,288,6/25/2020,54.8
7/27/2020,365,7/13/2020,59
7/28/2020,335,7/14/2020,58.9
8/11/2020,385,7/28/2020,60
8/14/2020,348,7/31/2020,59.8
8/17/2020,499,8/3/2020,59.9
8/18/2020,394,8/4/2020,49
8/19/2020,470,8/5/2020,50.7
8/20/2020,396,8/6/2020,53.9
8/21/2020,413,8/7/2020,56.4
8/25/2020,395,8/11/2020,57.9
8/26/2020,382,8/12/2020,58.6
8/30/2020,90,8/16/2020,54.6
8/31/2020,342,8/17/2020,54.5
