Date,Avg_DP
8-Jan-20,38.9
9-Jan-20,44.6
10-Jan-20,41.2
11-Jan-20,38
12-Jan-20,40.8
13-Jan-20,40.3
14-Jan-20,46.6
15-Jan-20,48.5
16-Jan-20,47.9
17-Jan-20,37.3
18-Jan-20,43.4
19-Jan-20,43
20-Jan-20,43.5
21-Jan-20,47.7
22-Jan-20,43
23-Jan-20,44.2
24-Jan-20,41
25-Jan-20,34.6
26-Jan-20,33.7
27-Jan-20,33.9
28-Jan-20,35
29-Jan-20,42.1
30-Jan-20,42.9
31-Jan-20,41.6
1-Feb-20,39.3
2-Feb-20,44.5
3-Feb-20,42.4
4-Feb-20,34.4
5-Feb-20,36.3
6-Feb-20,47.5
7-Feb-20,47.9
8-Feb-20,41.2
9-Feb-20,45.2
10-Feb-20,41
11-Feb-20,36.1
12-Feb-20,35.7
13-Feb-20,37.1
14-Feb-20,38.7
15-Feb-20,41.9
16-Feb-20,45.5
17-Feb-20,35.6
18-Feb-20,29
19-Feb-20,33.2
20-Feb-20,40.3
21-Feb-20,41.3
22-Feb-20,49.9
23-Feb-20,45.3
24-Feb-20,36.9
25-Feb-20,37.7
26-Feb-20,38.8
27-Feb-20,40.6
28-Feb-20,37.8
29-Feb-20,42.5
1-Mar-20,42.9
2-Mar-20,43.7
3-Mar-20,35.8
4-Mar-20,31.4
5-Mar-20,32
6-Mar-20,40
7-Mar-20,38.4
8-Mar-20,33.2
9-Mar-20,35.1
10-Mar-20,35
11-Mar-20,37.6
12-Mar-20,40.1
13-Mar-20,33.2
14-Mar-20,40.8
15-Mar-20,42.4
16-Mar-20,39.4
17-Mar-20,50.9
18-Mar-20,45.4
19-Mar-20,33.9
20-Mar-20,36.3
21-Mar-20,43.8
22-Mar-20,44.1
23-Mar-20,36.3
24-Mar-20,42.5
25-Mar-20,46.8
26-Mar-20,43.3
27-Mar-20,36.3
28-Mar-20,32.9
29-Mar-20,33.8
30-Mar-20,31.1
31-Mar-20,29
1-Apr-20,28.7
2-Apr-20,29.6
3-Apr-20,31.7
4-Apr-20,33.7
5-Apr-20,26
6-Apr-20,33
7-Apr-20,33.3
8-Apr-20,30.4
9-Apr-20,37.3
10-Apr-20,35.5
11-Apr-20,37.3
12-Apr-20,36.4
13-Apr-20,42
14-Apr-20,40.5
15-Apr-20,45.1
16-Apr-20,44.9
17-Apr-20,45.8
18-Apr-20,46.1
19-Apr-20,44.1
20-Apr-20,33.6
21-Apr-20,30.7
22-Apr-20,36.6
23-Apr-20,42
24-Apr-20,42.6
25-Apr-20,44
26-Apr-20,39.3
27-Apr-20,37.1
28-Apr-20,37.8
29-Apr-20,38.9
30-Apr-20,41.7
1-May-20,41.4
2-May-20,41.7
3-May-20,40.8
4-May-20,42.3
5-May-20,45.2
6-May-20,44.8
7-May-20,43.4
8-May-20,42.5
9-May-20,39.1
10-May-20,42.7
11-May-20,44.2
12-May-20,39.2
13-May-20,39.3
14-May-20,44.2
15-May-20,44.5
16-May-20,45.2
17-May-20,43.5
18-May-20,29.7
19-May-20,31.6
20-May-20,32.6
21-May-20,33.4
22-May-20,36.2
23-May-20,37.6
24-May-20,40.7
25-May-20,41.1
26-May-20,49.7
27-May-20,50.6
28-May-20,50.4
29-May-20,44.9
30-May-20,41.4
31-May-20,45.8
1-Jun-20,46.7
2-Jun-20,46.3
3-Jun-20,49.7
4-Jun-20,44
5-Jun-20,43.9
6-Jun-20,44.7
7-Jun-20,44.4
8-Jun-20,47.1
9-Jun-20,45.2
10-Jun-20,50.5
11-Jun-20,43.9
12-Jun-20,41
13-Jun-20,41.6
14-Jun-20,47.2
15-Jun-20,44
16-Jun-20,41.9
17-Jun-20,49.7
18-Jun-20,52.5
19-Jun-20,55.7
20-Jun-20,52.6
21-Jun-20,52.9
22-Jun-20,52.1
23-Jun-20,53.5
24-Jun-20,54.3
25-Jun-20,55.4
26-Jun-20,52.3
27-Jun-20,51.5
28-Jun-20,51.2
29-Jun-20,48.1
30-Jun-20,52.7
1-Jul-20,55.9
2-Jul-20,56.8
3-Jul-20,59
4-Jul-20,55
5-Jul-20,48.4
6-Jul-20,45
7-Jul-20,53.2
8-Jul-20,54.4
9-Jul-20,53.8
10-Jul-20,51.8
11-Jul-20,58.4
12-Jul-20,49.6
13-Jul-20,45
14-Jul-20,46.9
15-Jul-20,59.5
16-Jul-20,59.4
17-Jul-20,48.7
18-Jul-20,45
19-Jul-20,45.8
20-Jul-20,46.8
21-Jul-20,53.4
22-Jul-20,50.6
23-Jul-20,55
24-Jul-20,55.3
25-Jul-20,53.5
26-Jul-20,53.3
27-Jul-20,45.5
28-Jul-20,43.8
29-Jul-20,46.8
30-Jul-20,49.1
31-Jul-20,56.1
1-Aug-20,59.7
2-Aug-20,54.4
3-Aug-20,58.1
4-Aug-20,47.4
5-Aug-20,46.4
6-Aug-20,47.3
7-Aug-20,56.6
8-Aug-20,55.6
9-Aug-20,49.6
10-Aug-20,47.9
11-Aug-20,49.4
12-Aug-20,51.3
13-Aug-20,61.3
14-Aug-20,55.7
15-Aug-20,60.1
16-Aug-20,61.7
17-Aug-20,63.3
18-Aug-20,63.9
19-Aug-20,64.7
20-Aug-20,63.8
21-Aug-20,62.6
22-Aug-20,64.5
23-Aug-20,63.9
24-Aug-20,59.1
25-Aug-20,58
26-Aug-20,63
27-Aug-20,56
28-Aug-20,56.1
29-Aug-20,53.4
30-Aug-20,52.9
31-Aug-20,54.7
